epoch,lr,train_loss,train_acc,val_loss,val_acc,val_auc,test_seg_acc,test_seg_f1,test_acc_bal,test_f1_bal,test_auc,test_pauc,epoch_sec
1,0.002000,0.622626,0.506799,0.179143,0.496667,0.505113,0.374667,0.201022,0.502000,0.188925,0.508400,0.495789,1.381270
2,0.001999,0.172556,0.567367,0.176377,0.463889,0.575802,0.399333,0.275723,0.508000,0.246554,0.645450,0.526316,1.378789
3,0.001995,0.177931,0.512979,0.205279,0.493333,0.471431,0.335333,0.035783,0.491000,0.024904,0.446050,0.489737,1.384756
4,0.001988,0.176359,0.530902,0.166919,0.606111,0.625477,0.615667,0.714957,0.562500,0.623332,0.616200,0.572368,1.381520
5,0.001978,0.168811,0.580346,0.173539,0.610556,0.621166,0.667333,0.773593,0.578500,0.671089,0.645700,0.552105,1.380865
6,0.001966,0.165480,0.613721,0.193367,0.472222,0.569429,0.442000,0.375373,0.532000,0.339915,0.673300,0.543158,1.376397
7,0.001951,0.168159,0.592089,0.190444,0.502222,0.528233,0.356333,0.101443,0.502500,0.082949,0.544950,0.526053,1.383748
8,0.001934,0.164164,0.619901,0.168531,0.556667,0.660953,0.437667,0.367928,0.530500,0.337332,0.668850,0.513684,1.387916
9,0.001914,0.170644,0.618047,0.164106,0.604444,0.690245,0.555667,0.587179,0.596500,0.540171,0.728800,0.527895,1.371104
10,0.001891,0.159405,0.642151,0.168506,0.607222,0.690085,0.713333,0.811899,0.609500,0.705394,0.796000,0.575921,1.386600
11,0.001866,0.144986,0.726823,0.240083,0.567222,0.691849,0.700667,0.813538,0.565500,0.694552,0.818650,0.606579,1.380013
12,0.001839,0.132449,0.748455,0.205137,0.645000,0.668027,0.738333,0.825517,0.644000,0.723173,0.836250,0.622632,1.368284
13,0.001809,0.130145,0.762052,0.179522,0.611111,0.639844,0.708333,0.814107,0.589500,0.702644,0.806950,0.527368,1.371396
14,0.001777,0.137572,0.758962,0.185800,0.602222,0.632541,0.717667,0.822096,0.591000,0.706810,0.834150,0.549474,1.384660
15,0.001743,0.120257,0.784920,0.266262,0.703333,0.743806,0.776667,0.840476,0.725500,0.763464,0.893900,0.716316,1.380109
16,0.001707,0.115784,0.796663,0.163330,0.647222,0.715440,0.753667,0.840285,0.648500,0.736012,0.863850,0.588421,1.374249
