epoch,lr,train_loss,train_acc,val_loss,val_acc,val_auc,test_seg_acc,test_seg_f1,test_acc_bal,test_f1_bal,test_auc,test_pauc,epoch_sec
1,0.002000,0.880497,0.533333,0.346025,0.503000,0.649939,0.785700,0.146555,0.527000,0.162832,0.706150,0.555855,1.576500
2,0.001999,0.174924,0.553333,0.174793,0.542000,0.616254,0.809800,0.147849,0.537750,0.151446,0.718031,0.622845,1.597273
3,0.001995,0.180223,0.577778,0.202453,0.503500,0.544038,0.800200,0.001998,0.500500,0.001998,0.530806,0.561513,1.588485
4,0.001988,0.171665,0.611111,0.154304,0.724000,0.793672,0.637800,0.461813,0.698750,0.720612,0.868319,0.763224,1.583506
5,0.001978,0.209514,0.655556,0.373328,0.549000,0.756117,0.269500,0.349105,0.537250,0.679147,0.857437,0.679178,1.587614
6,0.001966,0.181232,0.633889,0.176322,0.666000,0.794527,0.851200,0.528517,0.690750,0.574182,0.902188,0.811118,1.581971
7,0.001951,0.148284,0.706111,0.165668,0.746000,0.832613,0.812900,0.569786,0.740500,0.704778,0.914781,0.832763,1.576183
8,0.001934,0.141999,0.738889,0.291413,0.591000,0.746616,0.847200,0.399843,0.624500,0.403968,0.917150,0.839770,1.590016
9,0.001914,0.156726,0.730556,0.180145,0.769500,0.837112,0.787600,0.567941,0.757500,0.742158,0.925338,0.834441,1.593317
10,0.001891,0.129848,0.770556,0.333824,0.696500,0.861594,0.527300,0.438532,0.680500,0.742857,0.936431,0.823717,1.577230
11,0.001866,0.148971,0.750000,0.194486,0.682500,0.667478,0.857900,0.528377,0.685500,0.558596,0.828519,0.797993,1.583338
12,0.001839,0.138094,0.743889,0.199660,0.756500,0.848359,0.689300,0.514910,0.744250,0.763249,0.937113,0.818289,1.643819
13,0.001809,0.137953,0.756667,0.197923,0.761500,0.855511,0.694500,0.521984,0.746000,0.766544,0.945025,0.858191,1.572785
14,0.001777,0.129869,0.771667,0.325724,0.648000,0.815894,0.860000,0.493854,0.665750,0.505364,0.930575,0.865559,1.592014
15,0.001743,0.128799,0.779444,0.156176,0.761500,0.863332,0.849500,0.622712,0.759500,0.720836,0.953450,0.887007,1.600091
16,0.001707,0.120272,0.797778,0.167230,0.795000,0.871571,0.814800,0.605622,0.774750,0.759413,0.956375,0.872664,1.571944
17,0.001669,0.125718,0.801667,0.255428,0.747500,0.855240,0.651200,0.496681,0.728750,0.760327,0.937937,0.841382,1.579395
18,0.001629,0.152236,0.773889,0.155712,0.730000,0.848421,0.860900,0.616064,0.746750,0.687827,0.940906,0.873586,1.572481
19,0.001588,0.102467,0.817778,0.271846,0.710000,0.866445,0.573000,0.461403,0.703000,0.754849,0.950500,0.851908,1.578095
20,0.001545,0.143478,0.767778,0.229897,0.753000,0.866158,0.674500,0.515553,0.746500,0.773560,0.952406,0.856513,1.587507
21,0.001500,0.111451,0.807778,0.355571,0.695500,0.858439,0.530300,0.440634,0.683250,0.744916,0.938356,0.822237,1.578758
22,0.001454,0.106913,0.823333,0.151360,0.796000,0.875421,0.798100,0.598848,0.781750,0.775405,0.955387,0.884441,1.570469
23,0.001407,0.106926,0.825556,0.285337,0.742500,0.871099,0.622800,0.486523,0.726000,0.765310,0.955181,0.861645,1.587382
24,0.001358,0.110105,0.820556,0.174246,0.790500,0.875853,0.816700,0.614349,0.784500,0.772078,0.961431,0.879276,1.588868
25,0.001309,0.117038,0.800000,0.230011,0.766500,0.869185,0.683100,0.520937,0.752500,0.776826,0.955875,0.854474,1.579867
26,0.001259,0.076346,0.881111,0.298101,0.744000,0.878108,0.640000,0.498747,0.736500,0.772649,0.958462,0.857566,1.599562
27,0.001208,0.087539,0.861667,0.287385,0.758500,0.869520,0.709500,0.540275,0.764250,0.783567,0.959056,0.870066,1.582256
28,0.001156,0.110359,0.825556,0.279333,0.749000,0.868950,0.859100,0.621338,0.754250,0.701669,0.950925,0.875066,1.569053
29,0.001105,0.080458,0.866667,0.269158,0.808000,0.880145,0.829600,0.627460,0.786750,0.770884,0.961081,0.888980,1.586103
