epoch,lr,train_loss,train_acc,val_loss,val_acc,val_auc,test_seg_acc,test_seg_f1,test_acc_bal,test_f1_bal,test_auc,test_pauc,epoch_sec
1,0.002000,0.955170,0.541071,0.174242,0.487634,0.554887,0.405839,0.244898,0.503500,0.242563,0.566437,0.506352,1.518093
2,0.001999,0.182636,0.523810,0.170708,0.559140,0.579199,0.487956,0.506854,0.512000,0.455357,0.540747,0.505142,1.858492
3,0.001995,0.170243,0.579762,0.166351,0.582796,0.627457,0.540511,0.519649,0.599500,0.499062,0.722414,0.615547,1.720160
4,0.001988,0.171295,0.613095,0.171445,0.505914,0.576966,0.398175,0.277071,0.475500,0.251249,0.483506,0.484574,1.641508
5,0.001978,0.175368,0.607143,0.199592,0.569892,0.706111,0.477007,0.397646,0.551000,0.373780,0.673621,0.538415,1.611955
6,0.001966,0.173025,0.600595,0.163877,0.521505,0.689589,0.458394,0.312963,0.565500,0.328958,0.726092,0.591652,1.629934
7,0.001951,0.158415,0.648810,0.155948,0.600538,0.810005,0.571898,0.534708,0.638500,0.515091,0.818563,0.665457,1.554608
8,0.001934,0.136299,0.722619,0.272740,0.610215,0.799876,0.708759,0.802279,0.621000,0.708012,0.780517,0.670599,1.750622
9,0.001914,0.183061,0.676190,0.195478,0.661828,0.832896,0.710949,0.792126,0.650500,0.711515,0.837184,0.733817,1.735773
10,0.001891,0.131316,0.766071,0.161015,0.759677,0.838243,0.723723,0.765126,0.733500,0.729029,0.844023,0.686025,1.835731
11,0.001866,0.153334,0.699405,0.142647,0.725269,0.826396,0.769343,0.827605,0.733000,0.766200,0.909828,0.763460,1.675192
12,0.001839,0.157416,0.710714,0.151644,0.672581,0.861823,0.721168,0.801661,0.659000,0.722086,0.875517,0.787659,1.615830
13,0.001809,0.114621,0.806548,0.121243,0.773656,0.874114,0.755839,0.787417,0.774500,0.760743,0.897126,0.787054,1.634362
14,0.001777,0.205415,0.672619,0.174997,0.530645,0.598658,0.406934,0.254929,0.495500,0.233865,0.566149,0.495160,1.752590
15,0.001743,0.171888,0.677976,0.163526,0.630645,0.750150,0.584307,0.531854,0.665000,0.528833,0.861264,0.760133,1.692436
16,0.001707,0.146243,0.738690,0.126200,0.808602,0.887316,0.744526,0.766199,0.781500,0.754080,0.913621,0.805203,1.532536
17,0.001669,0.098801,0.826786,0.547538,0.661290,0.846757,0.748905,0.825025,0.679000,0.742994,0.865690,0.740774,1.651390
18,0.001629,0.117628,0.796429,0.246392,0.705914,0.869924,0.641606,0.622888,0.706000,0.612648,0.930287,0.765578,2.057172
19,0.001588,0.089883,0.865476,0.164799,0.797312,0.898011,0.803285,0.839440,0.807000,0.809852,0.937299,0.828494,1.662283
20,0.001545,0.104047,0.842262,0.188622,0.806989,0.875805,0.813869,0.849291,0.814500,0.818404,0.942701,0.814277,1.615868
21,0.001500,0.095188,0.838095,0.188036,0.714516,0.850104,0.681387,0.685632,0.734500,0.676022,0.905057,0.788869,1.657257
22,0.001454,0.117318,0.809524,0.305039,0.640860,0.840334,0.746350,0.820274,0.683500,0.741527,0.883506,0.806715,1.865050
23,0.001407,0.099573,0.848810,0.143325,0.791936,0.876286,0.787226,0.819225,0.801500,0.794407,0.953908,0.864186,1.871617
24,0.001358,0.092785,0.851786,0.149885,0.822581,0.901931,0.793431,0.822013,0.811500,0.800424,0.950230,0.857532,1.714968
25,0.001309,0.086778,0.867262,0.256168,0.695161,0.893488,0.643066,0.619455,0.710000,0.610215,0.951379,0.823654,1.527432
26,0.001259,0.076526,0.876786,0.166721,0.825269,0.902190,0.806204,0.835349,0.820500,0.812728,0.952299,0.855414,1.481506
27,0.001208,0.103631,0.838095,0.175858,0.776344,0.898519,0.739781,0.755235,0.784500,0.748688,0.947529,0.845130,1.527291
28,0.001156,0.082417,0.868452,0.265054,0.775806,0.886264,0.814234,0.860510,0.784000,0.807658,0.956264,0.886267,1.489358
29,0.001105,0.091988,0.859524,0.237162,0.820430,0.903932,0.832117,0.866589,0.829000,0.836050,0.957529,0.875983,2.285474
30,0.001052,0.065632,0.891667,0.190851,0.813441,0.896576,0.813139,0.841486,0.829000,0.821875,0.960632,0.879613,1.857330
31,0.001000,0.077179,0.890476,0.215394,0.821505,0.902679,0.777737,0.798144,0.814500,0.790986,0.962414,0.904114,1.569899
32,0.000948,0.056878,0.916667,0.279831,0.766129,0.896268,0.719708,0.727660,0.767000,0.716200,0.956092,0.882940,1.782034
33,0.000895,0.067835,0.898810,0.346203,0.722581,0.904471,0.673358,0.662900,0.732000,0.650587,0.956437,0.867514,1.773295
34,0.000844,0.081141,0.870833,0.250670,0.775269,0.910964,0.704745,0.705282,0.758000,0.695597,0.961724,0.891712,1.786718
35,0.000792,0.057764,0.906548,0.208739,0.843548,0.918996,0.839051,0.872137,0.833000,0.839114,0.972069,0.922565,1.767020
36,0.000741,0.066397,0.900000,0.258301,0.772043,0.911548,0.736496,0.745595,0.779500,0.730933,0.973276,0.912281,1.535369
37,0.000691,0.049799,0.925595,0.208788,0.817742,0.901439,0.802190,0.827608,0.826000,0.812702,0.972126,0.921053,1.508430
38,0.000642,0.054578,0.914881,0.193069,0.834946,0.914317,0.810584,0.835081,0.832500,0.819017,0.972069,0.920448,1.497300
39,0.000593,0.068333,0.898810,0.519690,0.672043,0.882486,0.652920,0.630966,0.724500,0.631931,0.954713,0.864489,1.498764
40,0.000546,0.044206,0.930357,0.210265,0.832258,0.914849,0.789416,0.811006,0.817500,0.795518,0.970690,0.917725,1.540278
41,0.000500,0.038567,0.946429,0.273006,0.801613,0.907142,0.770073,0.786874,0.804000,0.771295,0.971667,0.926497,1.869469
42,0.000455,0.044467,0.936310,0.225723,0.832258,0.907301,0.828467,0.860119,0.835500,0.837209,0.963046,0.916213,1.976969
43,0.000412,0.039490,0.947024,0.210977,0.842473,0.913258,0.827372,0.853515,0.843000,0.835430,0.977414,0.933757,2.284396
44,0.000371,0.031203,0.961905,0.237699,0.833333,0.912505,0.811314,0.836029,0.832500,0.819407,0.969943,0.919843,1.851779
45,0.000331,0.039709,0.947024,0.225315,0.837097,0.918881,0.807299,0.830986,0.833500,0.818923,0.975690,0.931337,2.040761
46,0.000293,0.039196,0.938690,0.220729,0.833333,0.912821,0.830292,0.857231,0.843000,0.837137,0.977644,0.935572,2.249486
47,0.000257,0.032044,0.961905,0.220683,0.823118,0.914076,0.821898,0.848070,0.839500,0.830964,0.974943,0.935572,1.704310
48,0.000223,0.029823,0.965476,0.291871,0.819892,0.907473,0.779562,0.796907,0.816500,0.787984,0.974080,0.923775,1.602128
49,0.000191,0.028537,0.966071,0.256767,0.837097,0.908369,0.807299,0.829677,0.834500,0.817832,0.977759,0.935874,1.535913
50,0.000161,0.026983,0.966071,0.239701,0.837097,0.911143,0.823723,0.849392,0.839500,0.830069,0.976667,0.932547,1.819227
51,0.000134,0.025409,0.970833,0.241978,0.851075,0.914614,0.829927,0.858100,0.837000,0.832305,0.974195,0.932244,2.260289
52,0.000109,0.027058,0.966667,0.282764,0.834409,0.911044,0.800365,0.821417,0.831000,0.811384,0.977011,0.930430,2.265460
53,0.000086,0.027211,0.965476,0.278375,0.832258,0.910000,0.799635,0.821579,0.830000,0.811739,0.975690,0.930127,1.818751
54,0.000066,0.025212,0.972024,0.262058,0.831183,0.912201,0.811679,0.834933,0.838000,0.823721,0.977069,0.934664,1.732357
55,0.000049,0.025155,0.967262,0.269924,0.831183,0.910496,0.806569,0.829032,0.833000,0.816079,0.978103,0.936782,1.502767
56,0.000034,0.023463,0.970238,0.297429,0.810215,0.908939,0.796715,0.816716,0.830000,0.808559,0.978563,0.937084,1.710238
57,0.000022,0.023674,0.975595,0.248685,0.832796,0.914959,0.820438,0.844893,0.837000,0.824543,0.977701,0.934059,1.490025
58,0.000012,0.026067,0.967857,0.253438,0.834409,0.913948,0.817883,0.841638,0.838500,0.825122,0.978448,0.937689,1.565137
59,0.000005,0.023351,0.972619,0.251888,0.844624,0.916041,0.815693,0.839223,0.837500,0.823466,0.978448,0.938596,4.509351
60,0.000001,0.021770,0.976786,0.261291,0.838172,0.913270,0.813139,0.836422,0.834500,0.819224,0.978276,0.938294,2.044478
