epoch,lr,train_loss,train_acc,val_loss,val_acc,val_auc,test_seg_acc,test_seg_f1,test_acc_bal,test_f1_bal,test_auc,test_pauc,epoch_sec
1,0.002000,0.811993,0.654601,1.387264,0.539011,0.732613,0.511628,0.596542,0.561806,0.663107,0.724167,0.725146,1.474454
2,0.001999,0.145144,0.749080,0.234821,0.481319,0.525282,0.701163,0.586817,0.672222,0.607321,0.800000,0.713450,1.582752
3,0.001995,0.122269,0.787730,1.066106,0.479121,0.486921,0.672674,0.520851,0.638194,0.540159,0.759167,0.673246,1.469301
4,0.001988,0.118352,0.792025,0.132211,0.704396,0.813689,0.745930,0.719692,0.750694,0.757596,0.849306,0.819444,1.457073
5,0.001978,0.104550,0.803067,0.159519,0.800000,0.891971,0.776163,0.742130,0.777083,0.775367,0.842639,0.821637,1.526235
6,0.001966,0.099176,0.809816,0.218083,0.759341,0.904340,0.713372,0.712871,0.730556,0.759305,0.847639,0.816520,1.435398
7,0.001951,0.096385,0.809816,0.452925,0.602747,0.745373,0.796512,0.692982,0.763194,0.698497,0.840556,0.830409,1.436457
8,0.001934,0.081247,0.851534,0.365608,0.632967,0.708323,0.799419,0.737243,0.786806,0.759216,0.831389,0.821637,1.476957
9,0.001914,0.091170,0.844785,0.457582,0.596154,0.727622,0.794767,0.723571,0.775694,0.740978,0.853472,0.814327,1.447377
10,0.001891,0.072444,0.878528,0.937385,0.553297,0.577333,0.764535,0.610951,0.720139,0.612127,0.818750,0.788743,1.455940
11,0.001866,0.100213,0.838650,0.312475,0.659890,0.831200,0.605814,0.655137,0.642361,0.714365,0.850694,0.830409,1.484269
12,0.001839,0.089718,0.835583,0.500653,0.581868,0.666742,0.786047,0.724963,0.772917,0.747880,0.850972,0.809942,1.450159
13,0.001809,0.073497,0.876687,0.248500,0.739560,0.814608,0.744186,0.713914,0.749306,0.752570,0.847917,0.817982,1.446570
14,0.001777,0.074088,0.873006,0.837959,0.610440,0.723180,0.781977,0.671916,0.748611,0.679646,0.834861,0.788743,1.447531
15,0.001743,0.060334,0.892638,0.481489,0.657143,0.765624,0.812209,0.755858,0.795833,0.772798,0.861667,0.811404,1.420463
16,0.001707,0.073551,0.880982,0.300744,0.716484,0.791488,0.768023,0.739045,0.772222,0.775034,0.856528,0.825292,1.408648
17,0.001669,0.069578,0.886503,0.470621,0.625275,0.741394,0.790116,0.699917,0.762500,0.711149,0.830694,0.803363,1.425763
18,0.001629,0.062669,0.895706,0.775414,0.583517,0.711571,0.793605,0.710676,0.770833,0.725458,0.839583,0.795322,1.436595
19,0.001588,0.063551,0.891411,0.416446,0.693956,0.788437,0.817442,0.756589,0.798611,0.770932,0.829306,0.830409,1.448626
20,0.001545,0.059143,0.897546,0.412511,0.791209,0.814365,0.797093,0.757133,0.789583,0.782171,0.853194,0.805556,1.435352
21,0.001500,0.049701,0.913497,0.689045,0.650000,0.803250,0.806977,0.705674,0.772222,0.708185,0.851944,0.868421,1.413485
22,0.001454,0.061985,0.890798,0.535458,0.653846,0.740203,0.820930,0.770492,0.809722,0.790520,0.860694,0.832602,1.456672
23,0.001407,0.060686,0.907362,0.971297,0.598352,0.704881,0.793023,0.680431,0.757639,0.684734,0.838333,0.823830,1.448589
24,0.001358,0.055287,0.917791,1.274290,0.561538,0.649396,0.788953,0.667278,0.749306,0.668503,0.862222,0.817251,1.540319
25,0.001309,0.066645,0.892638,1.203560,0.620879,0.721720,0.818605,0.731959,0.787500,0.735751,0.859306,0.850877,1.559775
26,0.001259,0.045700,0.928221,1.122882,0.589560,0.690878,0.770930,0.629699,0.728472,0.631480,0.833889,0.840643,1.498774
27,0.001208,0.059838,0.909202,0.928907,0.624176,0.776409,0.836047,0.772947,0.815972,0.783673,0.882083,0.856725,1.516220
28,0.001156,0.037055,0.946626,1.066093,0.621978,0.723414,0.826163,0.755519,0.802083,0.764268,0.869861,0.848684,1.496513
29,0.001105,0.042456,0.931902,0.787014,0.620330,0.748373,0.823837,0.763096,0.807639,0.778931,0.872500,0.845760,1.537353
30,0.001052,0.030431,0.953374,0.975234,0.614286,0.725073,0.837209,0.770492,0.811806,0.776218,0.877083,0.857456,1.510326
31,0.001000,0.038240,0.949080,1.352698,0.604945,0.728990,0.797093,0.681279,0.757639,0.681279,0.863194,0.867690,1.458522
32,0.000948,0.044524,0.932515,0.748166,0.641758,0.752351,0.823837,0.739467,0.793056,0.742660,0.860000,0.875731,1.469974
33,0.000895,0.045042,0.932515,0.631733,0.724176,0.762839,0.832558,0.782805,0.817361,0.797848,0.866250,0.851608,1.457601
34,0.000844,0.038798,0.942945,0.941778,0.590110,0.694777,0.790116,0.679111,0.752083,0.681534,0.862361,0.831871,1.477898
35,0.000792,0.022707,0.968712,0.872372,0.682967,0.767727,0.843605,0.785998,0.820833,0.792937,0.881250,0.869883,1.558023
36,0.000741,0.021052,0.973006,0.997356,0.634066,0.755136,0.826163,0.747679,0.795833,0.750847,0.875694,0.870614,1.439599
37,0.000691,0.034434,0.951534,0.653520,0.741758,0.758142,0.818605,0.777143,0.807639,0.797070,0.873750,0.851608,1.422186
38,0.000642,0.024276,0.965644,0.944408,0.663187,0.781169,0.837209,0.770867,0.811806,0.776587,0.876667,0.877924,1.430535
39,0.000593,0.028811,0.957669,1.233351,0.626923,0.740690,0.820349,0.730131,0.786806,0.731409,0.883472,0.875731,1.426391
