epoch,lr,train_loss,train_acc,val_loss,val_acc,val_auc,test_seg_acc,test_seg_f1,test_acc_bal,test_f1_bal,test_auc,test_pauc,epoch_sec
1,0.002000,0.806616,0.525556,0.203434,0.497727,0.455451,0.553376,0.362069,0.520661,0.491228,0.555325,0.546252,2.030480
2,0.001999,0.176525,0.523889,0.183542,0.493182,0.464386,0.320445,0.418590,0.496901,0.639704,0.511483,0.500797,2.053038
3,0.001995,0.182196,0.508333,0.193033,0.471364,0.449172,0.311392,0.422767,0.498967,0.647614,0.588074,0.513898,1.958617
4,0.001988,0.190581,0.477778,0.197639,0.452273,0.422462,0.362316,0.295184,0.399449,0.448101,0.302403,0.478583,1.847399
5,0.001978,0.189828,0.512222,0.188388,0.470000,0.461439,0.584685,0.386288,0.546143,0.512574,0.661818,0.536398,1.933173
6,0.001966,0.179285,0.530556,0.204207,0.488182,0.505443,0.645794,0.257708,0.515152,0.316505,0.584957,0.512645,2.010422
7,0.001951,0.177468,0.560556,0.653267,0.440000,0.468193,0.680875,0.378855,0.573691,0.454626,0.669199,0.529847,1.961982
8,0.001934,0.194934,0.573333,0.173397,0.514091,0.514360,0.318370,0.426531,0.503444,0.650847,0.628398,0.580884,2.010041
9,0.001914,0.178425,0.554444,0.187573,0.495000,0.506823,0.664278,0.300864,0.536501,0.362689,0.660022,0.542322,1.912621
10,0.001891,0.165574,0.606667,0.338817,0.585000,0.625751,0.782158,0.394971,0.618802,0.405159,0.869697,0.760310,1.793674
11,0.001866,0.154280,0.685556,0.235285,0.623182,0.663081,0.804036,0.532614,0.680441,0.560606,0.896050,0.804967,1.728162
12,0.001839,0.136115,0.755556,0.224387,0.680455,0.753964,0.802150,0.617293,0.730372,0.683636,0.936905,0.852358,1.754342
13,0.001809,0.129505,0.774444,0.221008,0.710000,0.741598,0.772161,0.611825,0.730028,0.708333,0.937814,0.835156,1.726122
14,0.001777,0.120913,0.811111,0.258470,0.714545,0.768173,0.723312,0.592839,0.719697,0.724068,0.939004,0.807359,1.732224
15,0.001743,0.138256,0.776111,0.193816,0.724091,0.787938,0.814221,0.620424,0.733471,0.675336,0.952056,0.862041,1.730472
16,0.001707,0.125696,0.807778,0.222665,0.725455,0.798481,0.816673,0.622964,0.737603,0.678209,0.956190,0.861130,1.723904
17,0.001669,0.118355,0.807222,0.258819,0.752273,0.817494,0.706337,0.593366,0.723140,0.738622,0.941970,0.797448,1.805169
18,0.001629,0.116145,0.810000,0.217250,0.684545,0.714060,0.813278,0.586466,0.711088,0.625947,0.940649,0.843928,1.724912
19,0.001588,0.110991,0.816667,0.382868,0.728182,0.825541,0.675217,0.571642,0.703512,0.727445,0.937619,0.781271,1.739046
20,0.001545,0.107530,0.823889,0.361856,0.701818,0.789231,0.682573,0.574032,0.705579,0.726225,0.942013,0.814650,1.734716
21,0.001500,0.099794,0.845000,0.417266,0.688182,0.857612,0.561863,0.525046,0.658747,0.721551,0.922381,0.735931,1.749076
22,0.001454,0.114793,0.821667,0.364571,0.704545,0.803451,0.683704,0.571429,0.703512,0.721989,0.939502,0.797106,1.741621
23,0.001407,0.110293,0.828333,0.222318,0.706818,0.793537,0.816296,0.611333,0.725895,0.658076,0.942835,0.867396,1.733632
24,0.001358,0.087392,0.865556,0.488257,0.726364,0.838715,0.644285,0.570778,0.706956,0.746651,0.949567,0.816131,1.780131
25,0.001309,0.112716,0.813333,0.396765,0.751364,0.862918,0.792908,0.648752,0.763774,0.747237,0.960368,0.873548,1.912008
26,0.001259,0.101927,0.830000,0.256168,0.656364,0.810927,0.804791,0.511562,0.668733,0.529814,0.917532,0.837434,1.803050
27,0.001208,0.096181,0.841667,0.252809,0.758636,0.865364,0.804979,0.636938,0.744146,0.709425,0.957100,0.884940,1.926779
28,0.001156,0.091938,0.846111,0.268699,0.744091,0.853433,0.790834,0.633631,0.746556,0.722683,0.956255,0.897699,1.820426
29,0.001105,0.085231,0.843889,0.276766,0.760909,0.858221,0.799321,0.647915,0.756543,0.734709,0.961104,0.895648,1.809172
30,0.001052,0.099481,0.838333,0.268331,0.768182,0.867396,0.748397,0.632304,0.758264,0.765688,0.967965,0.904306,1.827456
31,0.001000,0.060794,0.890556,0.409998,0.760000,0.876462,0.805356,0.643154,0.752066,0.720930,0.956645,0.894623,1.832121
32,0.000948,0.066545,0.887778,0.210364,0.790455,0.878529,0.785175,0.645943,0.765152,0.752899,0.968247,0.922192,1.825108
33,0.000895,0.068227,0.883333,0.286270,0.787727,0.869922,0.737458,0.629590,0.757576,0.770684,0.970195,0.893484,1.833989
34,0.000844,0.062520,0.896111,0.225534,0.765000,0.859147,0.660883,0.590992,0.729339,0.767730,0.974048,0.904648,1.782335
35,0.000792,0.071042,0.896111,0.297856,0.761364,0.863711,0.792154,0.644057,0.753788,0.736065,0.963766,0.902711,1.827139
36,0.000741,0.058649,0.903889,0.276304,0.767727,0.860752,0.765372,0.640046,0.763430,0.763022,0.969416,0.897699,1.800479
37,0.000691,0.067222,0.891667,0.172612,0.803636,0.881605,0.766503,0.652832,0.777204,0.782521,0.975563,0.920483,1.862312
38,0.000642,0.051188,0.916111,0.356265,0.784091,0.882548,0.794794,0.646064,0.757920,0.738565,0.965390,0.893939,1.753954
39,0.000593,0.090218,0.868333,0.174709,0.757727,0.863603,0.784421,0.637947,0.756198,0.739897,0.965736,0.914103,1.742241
40,0.000546,0.052044,0.918333,0.333631,0.761364,0.856407,0.717842,0.621649,0.757231,0.777110,0.968203,0.887674,1.735193
41,0.000500,0.055228,0.913333,0.232310,0.780000,0.871778,0.715768,0.620881,0.756543,0.777323,0.970498,0.902370,1.744410
42,0.000455,0.047138,0.924444,0.281118,0.806364,0.883753,0.743493,0.630033,0.758953,0.767905,0.969307,0.899749,1.780242
43,0.000412,0.050907,0.911111,0.273662,0.794545,0.886959,0.754244,0.634297,0.762741,0.766361,0.971082,0.911255,1.749104
44,0.000371,0.046968,0.926111,0.232704,0.795909,0.883669,0.749340,0.634187,0.761364,0.768769,0.971926,0.908180,1.890091
45,0.000331,0.046794,0.928889,0.271097,0.790455,0.880479,0.745379,0.626866,0.752755,0.759545,0.967511,0.908293,2.102460
46,0.000293,0.050662,0.918333,0.252613,0.788182,0.877920,0.715956,0.619889,0.757231,0.776969,0.971905,0.895306,1.962376
47,0.000257,0.047015,0.922778,0.269498,0.774091,0.873658,0.754432,0.634885,0.759986,0.764607,0.971082,0.897015,1.943635
48,0.000223,0.043173,0.933889,0.258355,0.783636,0.873807,0.739532,0.630056,0.758609,0.770390,0.970693,0.899863,1.927214
49,0.000191,0.043545,0.929444,0.200691,0.796818,0.883104,0.743304,0.627837,0.758609,0.766099,0.966212,0.892458,1.870960
50,0.000161,0.039479,0.935000,0.368679,0.775909,0.875383,0.780460,0.640074,0.757231,0.745946,0.962165,0.899408,1.799405
51,0.000134,0.044427,0.926667,0.235300,0.798182,0.885446,0.750472,0.634429,0.762052,0.768664,0.969004,0.893939,1.809737
52,0.000109,0.044494,0.931667,0.252227,0.789545,0.872469,0.725575,0.622372,0.754821,0.771061,0.971104,0.899635,1.832380
53,0.000086,0.041580,0.932778,0.237442,0.793636,0.876210,0.737458,0.621739,0.755510,0.763175,0.965108,0.888699,1.818226
54,0.000066,0.042970,0.938889,0.270725,0.778636,0.880147,0.765749,0.635563,0.756198,0.753653,0.965043,0.892914,1.754280
55,0.000049,0.039800,0.938333,0.261936,0.788182,0.880731,0.755375,0.632890,0.759986,0.762359,0.965887,0.893598,1.759998
56,0.000034,0.044781,0.928333,0.228607,0.784545,0.877648,0.737646,0.627776,0.759642,0.770696,0.968182,0.893712,1.825274
57,0.000022,0.040253,0.940556,0.238032,0.787273,0.880985,0.747265,0.634080,0.761364,0.770149,0.968615,0.893825,1.855077
58,0.000012,0.041673,0.934444,0.239498,0.790909,0.879823,0.750094,0.634684,0.764807,0.771189,0.966970,0.893598,1.793748
59,0.000005,0.040136,0.938889,0.247260,0.782727,0.883106,0.754998,0.633154,0.761364,0.763884,0.967554,0.895876,1.727806
60,0.000001,0.039113,0.943889,0.248132,0.784545,0.882855,0.759147,0.635871,0.762052,0.763437,0.967208,0.895876,1.733433
