epoch,lr,train_loss,train_acc,val_loss,val_acc,val_auc,test_seg_acc,test_seg_f1,test_acc_bal,test_f1_bal,test_auc,test_pauc,epoch_sec
1,0.002000,0.785834,0.584444,0.527472,0.540000,0.715023,0.804299,0.242472,0.561236,0.281509,0.851493,0.705179,1.578842
2,0.001999,0.173795,0.649444,1.169694,0.510000,0.694602,0.814841,0.135690,0.530618,0.145269,0.792754,0.666211,1.579043
3,0.001995,0.171222,0.697778,0.273409,0.632000,0.726139,0.418117,0.382937,0.645787,0.736688,0.918768,0.749402,1.560812
4,0.001988,0.158562,0.756111,0.219819,0.714000,0.783796,0.756807,0.541667,0.771067,0.775048,0.964555,0.851015,1.574671
5,0.001978,0.109592,0.808889,0.569512,0.633000,0.790975,0.805834,0.442223,0.662360,0.555802,0.933168,0.819652,1.564074
6,0.001966,0.115074,0.826667,0.370915,0.745500,0.814468,0.745036,0.557627,0.803090,0.817495,0.975932,0.893410,1.564590
7,0.001951,0.077983,0.880000,0.687982,0.724000,0.825809,0.799591,0.563725,0.767416,0.753425,0.969245,0.897858,1.596781
8,0.001934,0.122862,0.812222,0.917321,0.672000,0.798466,0.465916,0.403930,0.672753,0.752180,0.969273,0.863264,1.571120
9,0.001914,0.123775,0.787778,0.766762,0.668000,0.821729,0.807677,0.458033,0.673315,0.577245,0.945346,0.852551,1.555032
10,0.001891,0.101233,0.847222,0.281599,0.752000,0.829091,0.742477,0.561367,0.809270,0.825853,0.976080,0.897188,1.584031
11,0.001866,0.077312,0.883333,0.526551,0.743000,0.822103,0.649028,0.498317,0.767416,0.804440,0.972016,0.879799,1.580712
12,0.001839,0.063694,0.901111,0.679866,0.721500,0.834248,0.794780,0.572403,0.783708,0.777070,0.971172,0.909108,1.572429
13,0.001809,0.092130,0.855000,0.592914,0.727500,0.837540,0.573081,0.456547,0.737640,0.789545,0.973949,0.884909,1.569688
14,0.001777,0.079967,0.872778,0.405002,0.756000,0.833129,0.764483,0.573494,0.808427,0.819386,0.979588,0.909363,1.561204
15,0.001743,0.094122,0.863333,0.694621,0.709000,0.820582,0.520983,0.430241,0.706461,0.771784,0.976994,0.889036,1.578780
16,0.001707,0.072263,0.883889,0.807188,0.734500,0.836875,0.800409,0.544605,0.748876,0.722877,0.969077,0.892066,1.585384
17,0.001669,0.097312,0.840556,0.532052,0.692000,0.841915,0.492938,0.415664,0.692416,0.762936,0.968999,0.878959,1.573063
18,0.001629,0.070048,0.899444,0.625752,0.768500,0.824387,0.649846,0.504562,0.780899,0.817073,0.978794,0.892692,1.569417
19,0.001588,0.062597,0.903889,0.462341,0.766500,0.829923,0.766121,0.575042,0.812921,0.822778,0.981747,0.914196,1.581079
20,0.001545,0.078009,0.885556,0.558026,0.771000,0.839584,0.741249,0.566529,0.819944,0.837516,0.982675,0.911824,1.574057
21,0.001500,0.072799,0.898889,0.516660,0.749000,0.841017,0.794268,0.581773,0.795787,0.793642,0.982035,0.925187,1.639391
22,0.001454,0.061352,0.916667,0.580242,0.761500,0.846195,0.776151,0.584615,0.817697,0.825865,0.982724,0.919747,1.603408
23,0.001407,0.052417,0.925556,0.597856,0.753500,0.832957,0.611566,0.480208,0.760955,0.804682,0.979736,0.900104,1.576593
24,0.001358,0.064657,0.901667,0.653110,0.752000,0.839374,0.791402,0.588615,0.809831,0.811578,0.984025,0.926002,1.575491
25,0.001309,0.062133,0.903333,0.461302,0.772000,0.839268,0.742886,0.567642,0.821067,0.838119,0.983800,0.918519,1.590855
26,0.001259,0.055017,0.923333,0.750466,0.746000,0.841030,0.802047,0.577360,0.784831,0.775235,0.975707,0.918907,1.583175
27,0.001208,0.045333,0.940556,0.581249,0.780000,0.843050,0.728762,0.559508,0.818258,0.838774,0.983048,0.915555,1.576662
28,0.001156,0.043681,0.948333,0.524275,0.785500,0.841766,0.737871,0.564678,0.820787,0.838889,0.984932,0.926842,1.599850
29,0.001105,0.054568,0.925556,0.637304,0.774000,0.825336,0.656295,0.508633,0.785955,0.820198,0.980854,0.904723,1.575323
30,0.001052,0.050256,0.920556,0.566402,0.792500,0.843579,0.749028,0.571927,0.821067,0.837209,0.983730,0.917664,1.572771
31,0.001000,0.061586,0.907222,0.540615,0.764000,0.834184,0.656295,0.507913,0.785393,0.819385,0.979293,0.896692,1.589059
32,0.000948,0.046439,0.946111,0.483262,0.786000,0.838792,0.750665,0.572632,0.823315,0.838428,0.984953,0.928144,1.566243
33,0.000895,0.042297,0.947222,0.576480,0.778000,0.848542,0.759672,0.579362,0.827247,0.840218,0.986233,0.931615,1.575759
34,0.000844,0.039610,0.945000,0.556938,0.791000,0.851652,0.761822,0.580494,0.824438,0.837451,0.984018,0.923881,1.575745
35,0.000792,0.037915,0.950000,0.513858,0.759500,0.844333,0.775537,0.586928,0.823034,0.831821,0.986472,0.935953,1.568920
36,0.000741,0.039013,0.944444,0.619299,0.762000,0.846548,0.775230,0.583460,0.815169,0.823781,0.985544,0.929328,1.570986
37,0.000691,0.031539,0.955556,0.796178,0.751500,0.849437,0.799591,0.581266,0.792978,0.786686,0.978147,0.929636,1.577929
38,0.000642,0.040955,0.945000,0.697924,0.757500,0.849667,0.786592,0.588676,0.813483,0.817982,0.986177,0.932763,1.569954
39,0.000593,0.034598,0.951111,0.545442,0.769000,0.850854,0.766325,0.581331,0.823315,0.834430,0.987878,0.939794,1.587121
40,0.000546,0.026416,0.967222,0.516313,0.772500,0.849981,0.774207,0.586891,0.821910,0.831741,0.987351,0.940316,1.590118
41,0.000500,0.029337,0.964444,0.519789,0.794000,0.847741,0.739918,0.564375,0.819663,0.836807,0.986662,0.935279,1.564171
42,0.000455,0.036040,0.953333,0.546660,0.791000,0.851684,0.769191,0.585859,0.826124,0.837490,0.985797,0.936763,1.578733
43,0.000412,0.029323,0.962778,0.606694,0.767500,0.854950,0.779324,0.589333,0.822191,0.830158,0.987653,0.940686,1.629725
44,0.000371,0.031313,0.960556,0.552276,0.785500,0.856564,0.761822,0.579432,0.823315,0.835984,0.986746,0.934613,1.563856
