epoch,lr,train_loss,train_acc,val_loss,val_acc,val_auc,test_seg_acc,test_seg_f1,test_acc_bal,test_f1_bal,test_auc,test_pauc,epoch_sec
1,0.002000,0.611240,0.662778,0.140086,0.708000,0.807224,0.700529,0.675273,0.699157,0.687299,0.893961,0.788439,1.564399
2,0.001999,0.141061,0.768889,0.123007,0.836000,0.920069,0.812963,0.799660,0.812079,0.808364,0.978174,0.938202,1.532922
3,0.001995,0.172913,0.817222,0.140446,0.724000,0.914785,0.680423,0.728661,0.693539,0.748328,0.981798,0.941898,1.539401
4,0.001988,0.098170,0.835556,0.179175,0.839000,0.927175,0.835450,0.812989,0.830899,0.817907,0.986994,0.957274,1.620262
5,0.001978,0.075804,0.886111,0.327296,0.813000,0.920325,0.797884,0.799580,0.802247,0.812367,0.981798,0.928888,1.557430
6,0.001966,0.105009,0.853333,0.368296,0.757000,0.907179,0.721164,0.750237,0.731461,0.768074,0.947921,0.761827,1.734027
7,0.001951,0.070413,0.905000,0.274951,0.827000,0.924690,0.802910,0.801703,0.806742,0.814054,0.979326,0.910260,1.641191
8,0.001934,0.057621,0.925000,0.204952,0.842500,0.933300,0.846561,0.817265,0.840730,0.820626,0.992584,0.966588,1.752019
9,0.001914,0.050167,0.935556,0.331019,0.815000,0.921361,0.794180,0.796335,0.798596,0.809258,0.982472,0.915878,1.741520
10,0.001891,0.081170,0.907778,0.212282,0.841000,0.935412,0.856349,0.829084,0.849719,0.831177,0.993511,0.969988,1.669858
11,0.001866,0.066357,0.906667,0.139804,0.824500,0.920385,0.812169,0.808728,0.812079,0.817761,0.993652,0.972649,1.666272
12,0.001839,0.065575,0.907778,0.446647,0.753500,0.920572,0.751058,0.641797,0.735674,0.641797,0.987247,0.947960,1.669061
13,0.001809,0.048945,0.927222,0.453472,0.795500,0.932745,0.793386,0.720172,0.780618,0.720172,0.990534,0.964370,1.633629
14,0.001777,0.068871,0.911111,0.220773,0.835500,0.935102,0.845238,0.809135,0.836236,0.809664,0.994494,0.971319,1.756195
15,0.001743,0.066481,0.911667,0.231088,0.854000,0.931680,0.852646,0.833184,0.848596,0.837699,0.994270,0.973093,1.643910
16,0.001707,0.100707,0.852778,0.283092,0.818500,0.942757,0.839947,0.801444,0.830899,0.802234,0.991966,0.961561,1.686375
17,0.001669,0.059962,0.917778,0.157918,0.848000,0.936803,0.855556,0.837015,0.851404,0.841284,0.996236,0.980633,1.698348
18,0.001629,0.059537,0.913333,0.196597,0.846000,0.941137,0.855556,0.830118,0.848876,0.832190,0.995365,0.975606,1.688657
19,0.001588,0.034951,0.945556,0.340693,0.830500,0.939032,0.850000,0.818211,0.842416,0.819788,0.996152,0.979746,1.722934
20,0.001545,0.051334,0.925556,0.228711,0.851500,0.938201,0.847619,0.816794,0.840169,0.818617,0.991966,0.964222,1.683363
21,0.001500,0.044776,0.937778,0.425616,0.818500,0.939154,0.834127,0.790090,0.824438,0.790620,0.993371,0.966884,1.647790
22,0.001454,0.045320,0.936111,0.625944,0.811500,0.939361,0.835185,0.791290,0.825281,0.791555,0.993961,0.969397,1.720410
23,0.001407,0.035587,0.946111,0.186899,0.856500,0.931024,0.857672,0.843057,0.854213,0.847756,0.996994,0.984181,1.668787
24,0.001358,0.031514,0.958889,0.230942,0.847000,0.928368,0.855820,0.840129,0.851966,0.844589,0.997584,0.987286,1.658435
25,0.001309,0.053113,0.931667,0.138599,0.846000,0.928816,0.850794,0.839041,0.848876,0.845313,0.996798,0.983146,1.766766
26,0.001259,0.031907,0.951667,0.504880,0.812500,0.942058,0.829365,0.781430,0.818820,0.781430,0.994691,0.972206,1.683443
27,0.001208,0.034116,0.947778,0.298780,0.848000,0.944388,0.857672,0.832503,0.851404,0.834842,0.996826,0.983294,1.734768
28,0.001156,0.028832,0.960000,0.484639,0.818500,0.943654,0.838095,0.795044,0.828090,0.795044,0.994747,0.972354,1.640834
29,0.001105,0.029514,0.956111,0.238259,0.843500,0.938692,0.845767,0.832230,0.842135,0.837290,0.997107,0.984772,1.550829
30,0.001052,0.038912,0.945000,0.225418,0.808500,0.914760,0.787831,0.791796,0.793820,0.806025,0.997051,0.984477,1.544494
31,0.001000,0.035801,0.953889,0.277633,0.857000,0.942975,0.860053,0.845004,0.856461,0.849485,0.997669,0.987729,1.760153
32,0.000948,0.030546,0.956667,0.281426,0.856500,0.945334,0.861640,0.844669,0.857303,0.848449,0.997219,0.985364,1.676461
33,0.000895,0.029485,0.964444,0.269971,0.854000,0.939287,0.855026,0.842800,0.851966,0.847908,0.997921,0.989060,1.590738
34,0.000844,0.023524,0.968333,0.467287,0.812500,0.944233,0.834392,0.790074,0.824438,0.790339,0.994017,0.968953,1.554977
35,0.000792,0.031825,0.952222,0.182238,0.842500,0.936553,0.846825,0.837679,0.845787,0.844784,0.997247,0.985512,1.660661
36,0.000741,0.023747,0.964444,0.305117,0.834000,0.933146,0.834127,0.826843,0.833146,0.834448,0.995674,0.977232,1.555003
37,0.000691,0.028211,0.962222,0.283601,0.845500,0.940832,0.849735,0.838911,0.847472,0.844901,0.997753,0.988173,1.603997
38,0.000642,0.022484,0.969444,0.245463,0.854500,0.946373,0.864021,0.840373,0.856742,0.841418,0.996657,0.983294,1.594562
39,0.000593,0.018441,0.972778,0.333471,0.853500,0.940698,0.869312,0.852976,0.864888,0.856289,0.998343,0.991277,1.544385
40,0.000546,0.019857,0.968889,0.288288,0.858000,0.946397,0.870370,0.851515,0.865169,0.854103,0.998090,0.989947,1.544669
41,0.000500,0.017096,0.972222,0.395960,0.849500,0.944812,0.870899,0.849661,0.864607,0.851235,0.998315,0.991130,1.592932
42,0.000455,0.018721,0.971667,0.420438,0.842500,0.943967,0.858201,0.827208,0.849719,0.827475,0.996461,0.981668,1.577329
43,0.000412,0.019352,0.971111,0.255991,0.859000,0.943398,0.868519,0.851064,0.863202,0.853622,0.997865,0.988764,1.552492
44,0.000371,0.017919,0.970000,0.321843,0.849000,0.942764,0.865079,0.839218,0.857865,0.840278,0.997725,0.988025,1.618888
45,0.000331,0.018434,0.977222,0.251367,0.850000,0.938269,0.864286,0.851347,0.861236,0.856061,0.997809,0.988468,1.765822
46,0.000293,0.014286,0.981111,0.351120,0.847500,0.940916,0.871164,0.853885,0.866011,0.856455,0.998287,0.990982,1.787246
47,0.000257,0.012923,0.979444,0.313385,0.847000,0.942111,0.872751,0.853577,0.867135,0.855661,0.998118,0.990095,1.664881
48,0.000223,0.011553,0.981667,0.408760,0.855000,0.942885,0.871164,0.851025,0.865169,0.852851,0.998034,0.989651,1.663751
49,0.000191,0.014438,0.974444,0.307688,0.854500,0.941107,0.867989,0.853278,0.864326,0.857312,0.997781,0.988321,1.547343
50,0.000161,0.017363,0.972222,0.376057,0.847500,0.943056,0.867989,0.843623,0.861236,0.844947,0.997612,0.987581,1.563722
51,0.000134,0.012070,0.977778,0.347937,0.846000,0.941528,0.873280,0.855853,0.868258,0.858436,0.998455,0.991869,1.537664
52,0.000109,0.011678,0.980556,0.380852,0.853000,0.944365,0.872222,0.849860,0.865730,0.851183,0.997978,0.989355,1.547518
53,0.000086,0.013072,0.980000,0.391394,0.855000,0.942303,0.873016,0.851943,0.866573,0.853259,0.998118,0.990095,1.548152
54,0.000066,0.009859,0.982222,0.399125,0.851500,0.942203,0.872222,0.850325,0.865730,0.851645,0.997837,0.988616,1.541150
55,0.000049,0.010260,0.981667,0.379589,0.850500,0.941687,0.872487,0.851966,0.866292,0.853538,0.998315,0.991130,1.556114
56,0.000034,0.010800,0.981667,0.411738,0.849000,0.942811,0.873280,0.851932,0.866854,0.853251,0.998146,0.990242,1.553479
57,0.000022,0.011408,0.980000,0.395778,0.851000,0.941188,0.873280,0.853113,0.867135,0.854685,0.998146,0.990242,1.535687
58,0.000012,0.008498,0.985556,0.405948,0.851500,0.942737,0.872751,0.851772,0.866573,0.853350,0.998202,0.990538,1.545374
59,0.000005,0.010426,0.985000,0.405355,0.850000,0.942282,0.872751,0.851681,0.866292,0.852996,0.998202,0.990538,1.555578
60,0.000001,0.008984,0.985000,0.412469,0.851500,0.941734,0.872222,0.850880,0.865730,0.852195,0.998118,0.990095,1.534303
