epoch,lr,train_loss,train_acc,val_loss,val_acc,val_auc,test_seg_acc,test_seg_f1,test_acc_bal,test_f1_bal,test_auc,test_pauc,epoch_sec
1,0.002000,0.982336,0.529624,0.203597,0.495455,0.410519,0.616250,0.069697,0.500000,0.071207,0.484000,0.499123,1.236099
2,0.001999,0.172377,0.546965,0.320190,0.429221,0.351569,0.532500,0.447563,0.530833,0.518392,0.580667,0.571053,1.213118
3,0.001995,0.144654,0.716763,0.849796,0.504545,0.522338,0.613750,0.557940,0.617500,0.629540,0.698000,0.617544,1.191935
4,0.001988,0.121164,0.790462,0.381213,0.679221,0.700752,0.691875,0.654035,0.706667,0.725857,0.861667,0.722807,1.198062
5,0.001978,0.105247,0.837428,0.432877,0.638961,0.672113,0.682500,0.669271,0.711667,0.748180,0.895667,0.807018,1.217632
6,0.001966,0.086707,0.866329,2.123232,0.534416,0.582334,0.624375,0.383590,0.563333,0.416481,0.668833,0.587719,1.193830
7,0.001951,0.061021,0.913295,0.684435,0.630519,0.649954,0.718125,0.697518,0.745000,0.772660,0.935167,0.878947,1.205299
8,0.001934,0.072272,0.906792,0.350624,0.659740,0.678813,0.638750,0.664733,0.692500,0.756436,0.964000,0.936842,1.207921
9,0.001914,0.061932,0.907514,0.267417,0.720130,0.843805,0.677500,0.689904,0.725000,0.776725,0.940333,0.775439,1.201182
10,0.001891,0.038969,0.945087,1.003389,0.651948,0.689109,0.710000,0.693122,0.739167,0.770022,0.925333,0.882456,1.189243
11,0.001866,0.041573,0.944364,0.314216,0.722727,0.777421,0.737500,0.718876,0.767500,0.793792,0.941167,0.921053,1.183963
12,0.001839,0.018576,0.981214,0.560944,0.704545,0.773286,0.752500,0.728395,0.781667,0.802115,0.951500,0.922807,1.206545
13,0.001809,0.026478,0.965318,0.615510,0.696104,0.736288,0.729375,0.706838,0.757500,0.782022,0.934167,0.915789,1.196297
14,0.001777,0.020230,0.975434,1.081162,0.636364,0.743382,0.746875,0.700665,0.758333,0.765751,0.909833,0.872807,1.191545
15,0.001743,0.016511,0.981214,0.386206,0.685065,0.696104,0.711875,0.717697,0.759167,0.802190,0.974000,0.942105,1.247177
16,0.001707,0.011829,0.984827,2.152586,0.622078,0.678425,0.735000,0.665087,0.730833,0.722747,0.870833,0.819298,1.229775
17,0.001669,0.012450,0.986994,1.208220,0.687662,0.747087,0.746875,0.700222,0.757500,0.764753,0.906667,0.876316,1.193630
18,0.001629,0.016896,0.981936,0.426969,0.736364,0.769550,0.760625,0.741740,0.795833,0.817844,0.965667,0.944737,1.185470
19,0.001588,0.011573,0.988439,3.103321,0.582467,0.641709,0.726250,0.653481,0.722500,0.712683,0.851333,0.809649,1.189778
20,0.001545,0.012448,0.987717,0.707739,0.680519,0.736893,0.741250,0.724000,0.775000,0.800885,0.949167,0.938596,1.195624
21,0.001500,0.006686,0.994220,1.537508,0.633766,0.701216,0.744375,0.706389,0.763333,0.776025,0.905833,0.896491,1.193937
22,0.001454,0.008836,0.989162,0.372699,0.731169,0.746559,0.724375,0.725576,0.769167,0.808039,0.983833,0.971930,1.203725
23,0.001407,0.011451,0.986272,1.275528,0.633766,0.698752,0.747500,0.718663,0.770833,0.789594,0.941333,0.931579,1.182344
24,0.001358,0.003331,0.996387,1.178398,0.670779,0.725601,0.753750,0.724476,0.777500,0.795088,0.939167,0.921053,1.205250
25,0.001309,0.006913,0.991329,0.370911,0.757792,0.797446,0.766250,0.746955,0.798333,0.820208,0.967667,0.964912,1.190849
26,0.001259,0.010507,0.991329,1.518333,0.655195,0.715137,0.753750,0.720567,0.774167,0.789433,0.930500,0.905263,1.182886
27,0.001208,0.005285,0.997832,2.597044,0.592857,0.666973,0.728750,0.646003,0.721667,0.703375,0.850000,0.812281,1.182017
