epoch,lr,train_loss,train_acc,val_loss,val_acc,val_auc,test_seg_acc,test_seg_f1,test_acc_bal,test_f1_bal,test_auc,test_pauc,epoch_sec
1,0.002000,0.853443,0.523058,0.174984,0.519565,0.533247,0.420714,0.294783,0.516000,0.285081,0.523000,0.505263,1.796349
2,0.001999,0.168081,0.666262,0.521986,0.603261,0.759052,0.549643,0.469499,0.642000,0.458396,0.885389,0.797076,1.758130
3,0.001995,0.112895,0.785194,0.428474,0.652174,0.801127,0.680714,0.676556,0.748000,0.675676,0.913167,0.834211,1.786323
4,0.001988,0.098748,0.832524,0.275894,0.746196,0.819833,0.812143,0.846915,0.814000,0.813065,0.899778,0.846491,1.482888
5,0.001978,0.104663,0.819782,0.160677,0.588587,0.665328,0.687500,0.797407,0.580500,0.695463,0.784889,0.613743,1.577976
6,0.001966,0.130925,0.788228,0.444965,0.673370,0.883425,0.665357,0.653860,0.735000,0.649934,0.942389,0.855556,1.682440
7,0.001951,0.132113,0.798544,0.193736,0.797283,0.888294,0.848571,0.874556,0.857000,0.850886,0.938222,0.818129,1.618549
8,0.001934,0.078778,0.877427,0.582052,0.711413,0.875810,0.659286,0.647189,0.730000,0.644269,0.929500,0.806140,1.464694
9,0.001914,0.077124,0.868932,0.177724,0.805978,0.888270,0.875357,0.901884,0.869000,0.871820,0.948278,0.887719,1.669146
10,0.001891,0.062468,0.908981,0.242507,0.833696,0.897838,0.875000,0.902344,0.862000,0.865889,0.947778,0.876316,1.624092
11,0.001866,0.064015,0.901699,0.358255,0.807609,0.906129,0.845357,0.866728,0.867000,0.853524,0.956667,0.904094,1.623419
12,0.001839,0.107318,0.833131,0.705541,0.711413,0.885930,0.705714,0.706762,0.768000,0.704459,0.940056,0.880409,1.676872
13,0.001809,0.061558,0.910801,0.283274,0.830435,0.914619,0.868571,0.890215,0.883000,0.875928,0.953611,0.915497,1.599471
14,0.001777,0.060817,0.907160,0.337359,0.810870,0.900234,0.848214,0.869432,0.874500,0.862767,0.954333,0.911696,1.622588
15,0.001743,0.059075,0.918083,0.481352,0.796196,0.888474,0.828571,0.850000,0.859500,0.843802,0.944667,0.895029,1.651750
16,0.001707,0.045872,0.937500,0.367048,0.773370,0.895084,0.850000,0.888060,0.817500,0.834617,0.949167,0.911111,1.632541
17,0.001669,0.043791,0.938107,0.550726,0.798913,0.892843,0.848929,0.870444,0.867000,0.854007,0.956833,0.906725,1.649629
18,0.001629,0.054964,0.921117,0.497203,0.783696,0.896880,0.806429,0.826171,0.842000,0.818807,0.954056,0.908772,1.713896
19,0.001588,0.039078,0.944782,0.559212,0.788587,0.908072,0.817143,0.837046,0.858000,0.839548,0.952944,0.908772,1.703474
20,0.001545,0.040950,0.945995,0.318615,0.835870,0.915533,0.884286,0.905319,0.893500,0.889809,0.963222,0.915789,1.556544
21,0.001500,0.052375,0.926578,0.290250,0.820652,0.907787,0.888571,0.909618,0.893500,0.890825,0.962944,0.917544,1.628742
22,0.001454,0.047763,0.923544,0.381169,0.810326,0.918480,0.858214,0.879514,0.879000,0.869189,0.965056,0.928947,1.625650
23,0.001407,0.045853,0.929005,0.399286,0.801630,0.884023,0.876786,0.903280,0.869500,0.872745,0.948778,0.911988,1.592764
24,0.001358,0.031303,0.958131,0.928352,0.733696,0.902919,0.720000,0.724912,0.783500,0.729544,0.964944,0.897953,1.624271
25,0.001309,0.059167,0.910194,0.449141,0.815761,0.915321,0.865000,0.885593,0.888500,0.880043,0.966056,0.920760,1.704141
26,0.001259,0.035740,0.952063,0.724840,0.780435,0.900425,0.814286,0.833226,0.851500,0.829408,0.954500,0.921930,1.731336
27,0.001208,0.023779,0.967840,0.572427,0.811413,0.904543,0.842143,0.863158,0.875500,0.863412,0.960722,0.930702,1.695155
28,0.001156,0.045519,0.938714,0.840898,0.762500,0.900312,0.776786,0.792566,0.830500,0.800471,0.958667,0.912865,1.651546
29,0.001105,0.019633,0.970874,0.469088,0.831522,0.911150,0.896071,0.918601,0.889500,0.891932,0.962444,0.916959,1.628266
30,0.001052,0.022187,0.966019,0.477565,0.847826,0.916108,0.895714,0.915017,0.906000,0.903093,0.969333,0.923099,1.620559
31,0.001000,0.027592,0.963592,0.488448,0.857065,0.917799,0.892143,0.912158,0.901000,0.898043,0.970111,0.923392,1.738053
32,0.000948,0.015104,0.975121,0.595457,0.828261,0.904648,0.872500,0.893082,0.892000,0.885106,0.961556,0.928363,1.823387
33,0.000895,0.021927,0.967840,0.425022,0.852174,0.922023,0.895357,0.914850,0.903000,0.900000,0.969722,0.936550,1.883932
34,0.000844,0.019468,0.971481,0.590583,0.839130,0.914939,0.886071,0.905088,0.903500,0.897721,0.971667,0.931579,1.831231
35,0.000792,0.034940,0.950850,0.524089,0.832609,0.912245,0.890000,0.909677,0.902000,0.898023,0.967556,0.930994,1.940538
36,0.000741,0.015816,0.983010,0.830741,0.801630,0.914822,0.811786,0.830601,0.851000,0.828736,0.973333,0.926608,1.912152
37,0.000691,0.010464,0.987864,0.711542,0.817391,0.915593,0.866786,0.886867,0.886500,0.876831,0.969778,0.933626,1.800843
38,0.000642,0.021258,0.971481,0.539675,0.836957,0.914343,0.896429,0.915942,0.902500,0.899743,0.969556,0.936257,1.838504
39,0.000593,0.041840,0.945388,0.644214,0.821196,0.915224,0.855714,0.875845,0.883500,0.872329,0.967333,0.927193,1.820426
40,0.000546,0.014601,0.978762,0.621432,0.838587,0.922707,0.867500,0.887473,0.890500,0.881558,0.970611,0.933918,1.801188
41,0.000500,0.011850,0.987864,0.708487,0.831522,0.920640,0.865714,0.886061,0.889500,0.880863,0.968778,0.925731,1.871602
42,0.000455,0.010477,0.989078,0.460407,0.863587,0.924800,0.897143,0.917620,0.898500,0.897527,0.967944,0.940351,1.823748
43,0.000412,0.007034,0.990898,0.623447,0.857609,0.914934,0.878929,0.899017,0.895000,0.888653,0.967556,0.933041,1.632815
44,0.000371,0.006734,0.993325,0.735235,0.838587,0.918876,0.859643,0.880219,0.883500,0.873438,0.971389,0.926316,1.554603
45,0.000331,0.007805,0.990291,0.566076,0.862500,0.921007,0.889643,0.909623,0.899500,0.895693,0.967111,0.927193,1.691990
