epoch,lr,train_loss,train_acc,val_loss,val_acc,val_auc,test_seg_acc,test_seg_f1,test_acc_bal,test_f1_bal,test_auc,test_pauc,epoch_sec
1,0.002000,0.874714,0.542471,0.182058,0.553488,0.620032,0.450625,0.518883,0.519167,0.621639,0.534333,0.506140,1.332664
2,0.001999,0.184398,0.568211,0.299898,0.586047,0.600734,0.633125,0.357065,0.560000,0.381733,0.673000,0.549123,1.328497
3,0.001995,0.157622,0.690476,0.540805,0.690698,0.709385,0.638750,0.613119,0.662500,0.693414,0.785167,0.642105,1.326949
4,0.001988,0.132683,0.766409,1.523535,0.674419,0.693583,0.655000,0.623978,0.676667,0.702454,0.838500,0.793860,1.343125
5,0.001978,0.151501,0.783784,1.276876,0.720930,0.690794,0.723125,0.662090,0.730000,0.728188,0.857333,0.821930,1.332018
6,0.001966,0.172960,0.704633,1.146973,0.719767,0.701721,0.712500,0.612142,0.694167,0.664227,0.878833,0.840351,1.322329
7,0.001951,0.107847,0.873874,1.323686,0.714535,0.711170,0.686875,0.644933,0.714167,0.726257,0.838667,0.813158,1.338720
8,0.001934,0.087975,0.883526,1.387124,0.704651,0.761202,0.655000,0.628032,0.686667,0.712538,0.834833,0.828947,1.324613
9,0.001914,0.067997,0.906049,1.622165,0.727326,0.674845,0.716875,0.621554,0.701667,0.675136,0.820333,0.776316,1.320670
10,0.001891,0.065500,0.915058,1.596774,0.659884,0.611451,0.665000,0.671166,0.720000,0.765035,0.899667,0.725439,1.353829
11,0.001866,0.057635,0.927928,2.004962,0.750581,0.714442,0.720625,0.655359,0.721667,0.717905,0.850000,0.828947,1.425877
12,0.001839,0.051192,0.939511,1.857849,0.704651,0.671481,0.715000,0.681119,0.745000,0.760938,0.904833,0.838596,1.336767
13,0.001809,0.040003,0.956885,2.304398,0.697093,0.680272,0.740625,0.678045,0.740833,0.737553,0.876667,0.838596,1.321019
14,0.001777,0.035423,0.951094,2.279196,0.725581,0.696487,0.727500,0.653418,0.722500,0.711688,0.883667,0.829825,1.319980
15,0.001743,0.024358,0.976190,2.318833,0.715116,0.689734,0.736875,0.691575,0.752500,0.760677,0.880667,0.882456,1.329849
16,0.001707,0.038668,0.960746,2.442615,0.733721,0.695007,0.727500,0.700138,0.759167,0.778883,0.906333,0.907018,1.347797
17,0.001669,0.025153,0.963964,2.582617,0.698256,0.703970,0.721250,0.679598,0.744167,0.754988,0.882000,0.864912,1.369110
18,0.001629,0.022398,0.976834,2.738888,0.691279,0.686845,0.708125,0.679478,0.739167,0.759785,0.885167,0.887719,1.471637
19,0.001588,0.031863,0.962033,3.210826,0.704070,0.694790,0.725625,0.677443,0.740000,0.747164,0.865833,0.866667,1.547304
20,0.001545,0.023770,0.971686,3.288347,0.640116,0.656176,0.721875,0.696660,0.751667,0.774242,0.910333,0.903509,1.500690
21,0.001500,0.018401,0.975547,3.231268,0.651744,0.683755,0.691875,0.680493,0.734167,0.766983,0.904500,0.891228,1.428874
22,0.001454,0.013021,0.984556,3.377287,0.698256,0.714361,0.732500,0.690304,0.751667,0.761981,0.881500,0.879825,1.556748
23,0.001407,0.009705,0.991634,3.470844,0.669767,0.675429,0.736250,0.701133,0.762500,0.776471,0.901333,0.897368,1.549970
24,0.001358,0.013050,0.985843,2.963671,0.673837,0.696494,0.721250,0.699461,0.758333,0.781627,0.905667,0.898246,1.402797
25,0.001309,0.008557,0.990347,3.370063,0.670349,0.691224,0.710000,0.693122,0.752500,0.779182,0.911833,0.896491,1.320151
26,0.001259,0.010622,0.987773,3.287108,0.690698,0.666791,0.696875,0.687701,0.745833,0.777859,0.908333,0.910526,1.411833
27,0.001208,0.009464,0.989060,3.168410,0.708140,0.713530,0.721250,0.694521,0.753333,0.774046,0.902833,0.899123,1.472678
28,0.001156,0.009621,0.989060,3.844166,0.665116,0.690780,0.710000,0.689840,0.745833,0.771877,0.893000,0.891228,1.575427
29,0.001105,0.007216,0.992278,4.040503,0.699419,0.705128,0.732500,0.698592,0.760833,0.775606,0.878333,0.885088,1.545115
30,0.001052,0.011681,0.990347,3.920439,0.675000,0.668083,0.689375,0.682428,0.738333,0.772793,0.898500,0.900000,1.539339
31,0.001000,0.014877,0.982625,4.041653,0.691279,0.709647,0.721250,0.680516,0.740000,0.752773,0.875167,0.873684,1.454145
