epoch,lr,train_loss,train_acc,val_loss,val_acc,val_auc,test_seg_acc,test_seg_f1,test_acc_bal,test_f1_bal,test_auc,test_pauc,epoch_sec
1,0.002000,1.048856,0.524680,0.177747,0.509016,0.499914,0.514375,0.346510,0.488333,0.401559,0.427000,0.476316,0.964139
2,0.001999,0.180068,0.514625,0.202668,0.487705,0.367734,0.375000,0.541705,0.496667,0.661814,0.455167,0.473684,0.953590
3,0.001995,0.177063,0.521938,0.197773,0.465574,0.513879,0.415000,0.527750,0.504167,0.637416,0.607833,0.520175,0.956047
4,0.001988,0.193693,0.481718,0.169620,0.582787,0.565198,0.476875,0.452583,0.492500,0.531899,0.468000,0.488596,0.960793
5,0.001978,0.175556,0.532907,0.179885,0.445902,0.450814,0.560000,0.141463,0.459167,0.151634,0.411333,0.490351,0.956209
6,0.001966,0.176565,0.533821,0.277560,0.372131,0.407417,0.561250,0.231947,0.492500,0.258222,0.457000,0.497368,0.966089
7,0.001951,0.173426,0.548446,0.190179,0.572131,0.540292,0.497500,0.504926,0.527500,0.591204,0.564917,0.495614,0.954772
8,0.001934,0.166908,0.575868,0.186717,0.433607,0.368758,0.522500,0.456615,0.532500,0.533666,0.555833,0.497368,0.956422
9,0.001914,0.171510,0.583181,0.178811,0.508197,0.491723,0.528750,0.342059,0.484167,0.387735,0.458000,0.492982,0.967986
10,0.001891,0.166280,0.591408,0.168064,0.550000,0.584696,0.581875,0.359809,0.533333,0.401709,0.646667,0.553509,0.955788
11,0.001866,0.168692,0.669104,0.165716,0.577049,0.637904,0.613750,0.499190,0.591667,0.556962,0.822667,0.731579,0.954484
12,0.001839,0.148836,0.717550,0.165290,0.645082,0.711849,0.716250,0.581181,0.674167,0.617042,0.885833,0.841228,0.953848
13,0.001809,0.118081,0.805302,0.161426,0.699180,0.799962,0.651875,0.609671,0.659167,0.680219,0.881333,0.855263,0.976680
14,0.001777,0.111058,0.859232,0.219170,0.700000,0.760075,0.738125,0.642796,0.710833,0.684832,0.920833,0.825439,1.049741
15,0.001743,0.104438,0.858318,0.238107,0.704918,0.770515,0.685000,0.623881,0.684167,0.688066,0.898500,0.818421,0.963012
16,0.001707,0.115511,0.813528,0.183702,0.725410,0.763005,0.765000,0.667845,0.733333,0.702602,0.890000,0.830702,0.965662
17,0.001669,0.078780,0.890311,0.188645,0.738525,0.790904,0.801875,0.697807,0.760000,0.717647,0.916500,0.871930,0.954224
18,0.001629,0.064453,0.900366,0.338378,0.690164,0.788996,0.717500,0.633712,0.695000,0.681185,0.897833,0.784211,0.957693
19,0.001588,0.087027,0.895795,0.244707,0.747541,0.820134,0.767500,0.677083,0.741667,0.715596,0.917667,0.838596,0.963757
20,0.001545,0.057364,0.932358,0.428919,0.676230,0.756458,0.657500,0.623626,0.667500,0.694721,0.867167,0.758772,0.952719
21,0.001500,0.068609,0.889397,0.214365,0.703279,0.810997,0.810000,0.673820,0.750000,0.676724,0.954833,0.932456,0.958631
22,0.001454,0.041571,0.944241,0.235627,0.758197,0.835364,0.806250,0.706994,0.765833,0.726919,0.945833,0.874561,0.952074
23,0.001407,0.059459,0.925046,0.309594,0.640984,0.851016,0.758750,0.544811,0.684167,0.549346,0.942167,0.897368,0.962745
24,0.001358,0.043349,0.941499,0.363747,0.701639,0.894149,0.797500,0.647059,0.735000,0.651316,0.968167,0.901754,0.956498
25,0.001309,0.057901,0.928702,0.426782,0.718852,0.819194,0.715000,0.672884,0.725833,0.740331,0.886833,0.727193,0.954835
26,0.001259,0.048189,0.950640,0.240430,0.705738,0.865442,0.815625,0.697436,0.760000,0.702479,0.966000,0.912281,0.963685
27,0.001208,0.047641,0.926874,0.283024,0.772951,0.848132,0.792500,0.708260,0.769167,0.744229,0.947167,0.846491,0.955978
28,0.001156,0.037054,0.957038,0.288841,0.762295,0.878049,0.806250,0.709738,0.770833,0.733785,0.949333,0.864035,0.965359
29,0.001105,0.026235,0.964351,0.339483,0.706557,0.918979,0.812500,0.676026,0.753333,0.678959,0.947000,0.931579,0.954013
30,0.001052,0.040523,0.941499,0.328216,0.763934,0.899000,0.835625,0.729702,0.787500,0.735751,0.952333,0.942982,0.956358
31,0.001000,0.023009,0.971664,0.261571,0.747541,0.899272,0.828750,0.720978,0.780000,0.728395,0.975333,0.920175,0.956767
32,0.000948,0.031067,0.960695,0.223974,0.763115,0.900790,0.821875,0.730878,0.787500,0.752187,0.950000,0.899123,0.960956
33,0.000895,0.029276,0.962523,0.288884,0.765574,0.884985,0.835625,0.735146,0.789167,0.742625,0.969333,0.933333,0.980991
34,0.000844,0.013605,0.985375,0.284803,0.770492,0.892994,0.817500,0.733577,0.788333,0.759924,0.956500,0.871053,0.962241
35,0.000792,0.016491,0.979890,0.485360,0.738525,0.838925,0.802500,0.723776,0.777500,0.756164,0.948000,0.861404,0.951466
36,0.000741,0.010685,0.988117,0.289521,0.776230,0.889432,0.835000,0.749526,0.796667,0.764023,0.972333,0.915789,0.956175
37,0.000691,0.012262,0.983547,0.751593,0.750000,0.836907,0.838125,0.734903,0.790000,0.740206,0.955833,0.947368,0.972630
38,0.000642,0.012787,0.987203,0.357143,0.756557,0.875464,0.818750,0.738739,0.791667,0.766355,0.967667,0.887719,0.964310
39,0.000593,0.013864,0.982633,0.624426,0.752459,0.856345,0.833750,0.726899,0.788333,0.735967,0.958333,0.947368,0.955681
40,0.000546,0.022797,0.978062,0.380306,0.760656,0.865090,0.835000,0.737575,0.790833,0.747231,0.966167,0.944737,0.958192
41,0.000500,0.010455,0.983547,0.489975,0.746721,0.870828,0.842500,0.741273,0.792500,0.743563,0.966833,0.951754,0.952747
42,0.000455,0.008771,0.989031,0.352519,0.786885,0.878417,0.835625,0.746384,0.795833,0.759568,0.964000,0.934211,0.968697
43,0.000412,0.007275,0.993601,0.534519,0.728689,0.864356,0.836875,0.728408,0.784167,0.729927,0.960667,0.953509,0.968955
44,0.000371,0.005631,0.995430,0.536249,0.763934,0.872107,0.836250,0.729897,0.785000,0.732919,0.960833,0.949123,0.963905
45,0.000331,0.007245,0.990859,0.427496,0.768852,0.874037,0.837500,0.743083,0.794167,0.752753,0.979000,0.933333,0.951942
46,0.000293,0.008896,0.991773,0.491495,0.777049,0.875963,0.842500,0.747495,0.798333,0.755061,0.980833,0.945614,0.955157
47,0.000257,0.004341,0.995430,0.543514,0.763115,0.849721,0.825000,0.735849,0.785833,0.752170,0.973667,0.904386,0.967269
48,0.000223,0.004451,0.996344,0.592444,0.759016,0.859979,0.833125,0.733267,0.787500,0.742164,0.976833,0.942982,0.971219
49,0.000191,0.004329,0.995430,0.668285,0.743443,0.860293,0.832500,0.720833,0.780833,0.724607,0.975000,0.951754,1.008008
50,0.000161,0.004556,0.994516,0.516377,0.771311,0.859043,0.839375,0.752170,0.797500,0.762463,0.982667,0.928947,0.954967
51,0.000134,0.004681,0.993601,0.548884,0.759016,0.852835,0.836875,0.742349,0.793333,0.752000,0.986333,0.942105,0.954191
52,0.000109,0.007420,0.991773,0.682919,0.753279,0.837299,0.830625,0.725986,0.783333,0.734151,0.966000,0.935965,0.975012
53,0.000086,0.003154,0.998172,0.669005,0.752459,0.846544,0.831250,0.729459,0.785833,0.739086,0.968167,0.942105,0.966547
54,0.000066,0.003384,0.997258,0.758789,0.761475,0.843252,0.830625,0.723187,0.783333,0.731405,0.965000,0.945614,0.953012
55,0.000049,0.003518,0.997258,0.723852,0.759836,0.847361,0.831875,0.730191,0.788333,0.741344,0.973500,0.943860,0.979754
56,0.000034,0.002723,0.999086,0.673764,0.753279,0.844888,0.830625,0.735610,0.790000,0.749503,0.977667,0.924561,0.953423
57,0.000022,0.005357,0.991773,0.722072,0.758197,0.845531,0.832500,0.728195,0.785833,0.736410,0.969333,0.942105,0.971279
58,0.000012,0.002442,0.998172,0.746379,0.758197,0.839745,0.833750,0.733467,0.789167,0.743147,0.973500,0.942105,0.963751
59,0.000005,0.003229,0.997258,0.727488,0.753279,0.841747,0.834375,0.735793,0.790833,0.746208,0.975500,0.942105,0.960510
60,0.000001,0.004008,0.995430,0.726636,0.753279,0.841733,0.835625,0.737787,0.792500,0.748231,0.974167,0.942105,0.951631
