epoch,lr,train_loss,train_acc,val_loss,val_acc,val_auc,test_seg_acc,test_seg_f1,test_acc_bal,test_f1_bal,test_auc,test_pauc,epoch_sec
1,0.002000,0.796164,0.576111,0.183949,0.535909,0.586630,0.604320,0.333999,0.531784,0.378966,0.653173,0.571983,1.724969
2,0.001999,0.200054,0.662778,0.152036,0.706364,0.784921,0.658676,0.577556,0.669515,0.670303,0.900962,0.757341,1.719183
3,0.001995,0.189553,0.713889,1.098616,0.599091,0.825634,0.460005,0.557135,0.583732,0.701471,0.907098,0.800554,1.710079
4,0.001988,0.217663,0.621111,0.200303,0.717273,0.763519,0.644909,0.622222,0.695830,0.734645,0.903008,0.800712,1.808976
5,0.001978,0.125617,0.791667,0.321877,0.730455,0.795904,0.654640,0.540575,0.641490,0.620065,0.845895,0.786941,1.745118
6,0.001966,0.136749,0.786111,0.289285,0.670455,0.788037,0.554712,0.600681,0.653794,0.735854,0.931008,0.837594,1.705554
7,0.001951,0.083201,0.877222,0.488432,0.742273,0.808427,0.664847,0.631716,0.704033,0.736618,0.900692,0.855639,1.942701
8,0.001934,0.094423,0.871667,0.398908,0.742727,0.793605,0.644434,0.637288,0.709501,0.755887,0.931278,0.889672,1.931215
9,0.001914,0.088478,0.876111,0.323446,0.749545,0.832605,0.660100,0.615674,0.692413,0.718222,0.872692,0.837911,1.996189
10,0.001891,0.100211,0.853889,0.380458,0.748636,0.814990,0.630904,0.629144,0.701982,0.751567,0.927970,0.867827,1.853487
11,0.001866,0.077727,0.893889,0.434158,0.736818,0.820574,0.670306,0.622862,0.700957,0.723888,0.882887,0.850416,1.929413
12,0.001839,0.072472,0.898889,0.380413,0.740455,0.835045,0.671256,0.637150,0.713260,0.743504,0.914496,0.878750,1.938899
13,0.001809,0.066177,0.907222,0.624798,0.740909,0.809735,0.672442,0.599768,0.684211,0.691176,0.854526,0.829838,1.934754
14,0.001777,0.064919,0.906667,0.542242,0.744545,0.828717,0.676715,0.613727,0.693096,0.706728,0.875820,0.853581,1.789678
15,0.001743,0.075354,0.890000,0.635624,0.623636,0.687501,0.482791,0.571653,0.603213,0.714672,0.909323,0.643213,1.738303
16,0.001707,0.076167,0.880556,0.614554,0.743182,0.842722,0.673155,0.647556,0.723855,0.757939,0.938015,0.894104,1.721592
17,0.001669,0.056288,0.930000,0.779900,0.750000,0.839873,0.677902,0.618499,0.700273,0.714982,0.871188,0.848199,1.721023
18,0.001629,0.064374,0.915556,0.354572,0.753636,0.801618,0.658676,0.650462,0.724197,0.768303,0.959489,0.905659,1.720864
19,0.001588,0.041590,0.946667,0.415207,0.754545,0.775358,0.653928,0.657425,0.728298,0.778736,0.973444,0.912782,1.712478
